source,target,weight
3010_1,3020_1,0.8326415013380282
3010_1,10001010_1,0.9052723344303072
3010_1,10003030_1,0.8315690428848701
3010_1,10004010_1,0.7474761858267458
3010_1,10004040_1,0.7719863164578685
3010_1,10013040_1,0.7018331833035518
3010_1,10038010_1,0.8456201527780995
3010_1,10038040_1,0.7756719740295055
3010_1,10050010_1,0.7742839401783739
3010_1,10059030_1,0.7621034655174574
3010_1,10075020_1,0.764711682892028
3010_1,10097040_1,0.827504915484176
3010_1,10210010_1,0.7716977241910485
3010_1,10225010_1,0.7731913026092585
3010_1,10299010_1,0.7749434610487762
3010_1,10372010_1,0.833632964429285
3010_1,10394010_1,0.7694731721083843
3010_1,10394040_1,0.8380506604865507
3010_1,10395010_1,0.8331209254080898
3010_1,10395020_1,0.7794621216384883
3010_1,10397010_1,0.836732314790257
3010_1,10397040_1,0.8542025555255358
3010_1,10404010_1,0.7030480766828773
3010_1,10451010_1,0.8351375351364401
3010_1,10453020_1,0.761010020413212
3010_1,10475010_1,0.8293153474974264
3010_1,10481010_1,0.8247690410077111
3010_1,10481020_1,0.8504309208480891
3010_1,10533010_1,0.7004554789725159
3010_1,10565020_1,0.7664172869655946
3010_1,10568010_1,0.7769729762450952
3010_1,10571010_1,0.8425214717038901
3010_1,10592010_1,0.7015543665342128
3010_1,10648020_1,0.7718447799745669
3010_1,10707010_1,0.9197605729692964
3010_1,10707020_1,0.8466214860481016
3010_1,10769040_1,0.8414315521045439
3010_1,10773020_1,0.7709896949529528
3010_1,10773030_1,0.8443653299769328
3010_1,10818010_1,0.7761026094616099
3010_1,10818040_1,0.8501962282922533
3010_1,10822010_1,0.7631183299750872
3010_1,10822040_1,0.8411592487886956
3010_1,10893010_1,0.7806650155397683
3010_1,10896010_1,0.7767445233903991
3010_1,10917010_1,0.8448720352869112
3010_1,10989020_1,0.7643216091193371
3010_1,10994010_1,0.8396328187161917
3010_1,11010010_1,0.7605254111717429
3010_1,11067020_1,0.7628974451036143
3010_1,11067030_1,0.7953270933394592
3010_1,11071020_1,0.7687816108923466
3010_1,11074020_1,0.7080634036241779
3010_1,11141010_1,0.7050979603576819
3010_1,11141020_1,0.8308915092470011
3010_1,11186010_1,0.7732696643912129
3010_1,11253010_1,0.8334045218660308
3010_1,11332010_1,0.7574442358399693
3010_1,11333020_1,0.7635394537136677
3010_1,11347030_1,0.8522986731045169
3010_1,11368010_1,0.8379154045271078
3010_1,11368020_1,0.7739420907295839
3010_1,11377010_1,0.710344606663257
3010_1,11378010_1,0.7689751774747124
3010_1,11378020_1,0.8397617402932305
3010_1,11387020_1,0.9186062310028132
3010_1,11506010_1,0.7820221043977162
3010_1,11582020_1,0.7512183049922694
3010_1,11590020_1,0.7769729762450952
3010_1,11608040_1,0.767803992534643
3010_1,11620040_1,0.7086499948786356
3010_1,11667020_1,0.8409427274885295
3010_1,11667030_1,0.8530505528037651
3010_1,11678010_1,0.7017729121609735
3010_1,11802010_1,0.8513418492909879
3010_1,11841010_1,0.7649643137739017
3010_1,11854010_1,0.8515723573466036
3010_1,11854020_1,0.8456206800429658
3010_1,11862020_1,0.840369758329435
3010_1,11881010_1,0.8378458583941661
3010_1,11902030_1,0.8472354532237403
3010_1,11911040_1,0.7757876995768701
3010_1,11932020_1,0.7701693504082441
3010_1,11936010_1,0.7083123299300657
3010_1,11983040_1,0.913543633068167
3010_1,11993010_1,0.7789473684210526
3010_1,12005010_1,0.9140404517330936
3010_1,12009010_1,0.84818080482409
3010_1,12009040_1,0.8458415649144386
3010_1,12010010_1,0.7086499948786356
3010_1,12010020_1,0.902715160548584
3010_1,12124020_1,0.8392398413847318
3010_1,12135020_1,0.765099326512271
3010_1,12135030_1,0.7729973610753645
3010_1,12162010_1,0.8499513444646893
3010_1,12195010_1,0.7785227730361179
3010_1,12196010_1,0.8476496679744185
3010_1,12196020_1,0.7541251906412401
3010_1,12218010_1,0.7580562593053073
3010_1,12218020_1,0.8310077353014833
3010_1,12223020_1,0.7743645797994381
3010_1,12232040_1,0.8431721909902503
3010_1,12273010_1,0.8451727587622313
3010_1,12273040_1,0.771741574652201
3010_1,12274010_1,0.7390303673208357
3010_1,12274020_1,0.8449055088873357
3010_1,12276020_1,0.7741186517335834
3010_1,12276030_1,0.8390276095574918
3010_1,12280030_1,0.8392139357675306
3010_1,12285010_1,0.8489582484646729
3010_1,12292010_1,0.7620659700215928
3010_1,12315010_1,0.763792601568966
3010_1,12318010_1,0.8453819347173643
3010_1,12319010_1,0.9181377045404324
3010_1,12344010_1,0.7570468743543193
3010_1,12344020_1,0.7762771831882054
3010_1,12393020_1,0.7732066317117618
3010_1,12401040_1,0.764266049741845
3010_1,12443010_1,0.7810489545840253
3010_1,12443040_1,0.7680443028454883
