### HYPERPARAMETER TUNING RESULTS (AUTO-SAVED PER COMBINATION, SORTED) ###

PARAMS	AUROC	AUPRC
lr=0.0001_dropout=0.3_n_layers=3_num_heads=16_weight_decay=0.001	0.8226	0.8163
lr=0.0001_dropout=0.1_n_layers=3_num_heads=16_weight_decay=0.0005	0.8225	0.8166
lr=0.0001_dropout=0.3_n_layers=3_num_heads=16_weight_decay=0.0005	0.8225	0.8160
lr=0.0001_dropout=0.3_n_layers=2_num_heads=16_weight_decay=0.0005	0.8224	0.8173
lr=0.0001_dropout=0.3_n_layers=2_num_heads=16_weight_decay=0.001	0.8224	0.8176
lr=0.0001_dropout=0.1_n_layers=3_num_heads=4_weight_decay=0.0005	0.8222	0.8165
lr=0.0001_dropout=0.1_n_layers=3_num_heads=4_weight_decay=0.001	0.8222	0.8167
lr=0.0001_dropout=0.1_n_layers=2_num_heads=16_weight_decay=0.0005	0.8221	0.8172
lr=0.0001_dropout=0.1_n_layers=3_num_heads=16_weight_decay=0.001	0.8221	0.8160
lr=0.0001_dropout=0.1_n_layers=2_num_heads=16_weight_decay=0.001	0.8220	0.8173
lr=0.0001_dropout=0.3_n_layers=2_num_heads=4_weight_decay=0.001	0.8220	0.8169
lr=0.0001_dropout=0.3_n_layers=2_num_heads=4_weight_decay=0.0005	0.8219	0.8167
lr=0.0001_dropout=0.1_n_layers=2_num_heads=4_weight_decay=0.0005	0.8217	0.8175
lr=0.0001_dropout=0.1_n_layers=2_num_heads=4_weight_decay=0.001	0.8217	0.8172
lr=0.0001_dropout=0.1_n_layers=4_num_heads=8_weight_decay=0.0005	0.8215	0.8162
lr=0.0001_dropout=0.1_n_layers=4_num_heads=8_weight_decay=0.001	0.8215	0.8149
lr=0.0001_dropout=0.3_n_layers=3_num_heads=4_weight_decay=0.001	0.8214	0.8153
lr=0.0001_dropout=0.1_n_layers=3_num_heads=8_weight_decay=0.0005	0.8213	0.8151
lr=0.0001_dropout=0.3_n_layers=3_num_heads=4_weight_decay=0.0005	0.8213	0.8159
lr=0.0001_dropout=0.1_n_layers=3_num_heads=8_weight_decay=0.001	0.8212	0.8144
lr=0.0001_dropout=0.1_n_layers=4_num_heads=16_weight_decay=0.0005	0.8212	0.8147
lr=0.0001_dropout=0.1_n_layers=4_num_heads=4_weight_decay=0.001	0.8209	0.8147
lr=0.0001_dropout=0.3_n_layers=2_num_heads=8_weight_decay=0.0005	0.8209	0.8152
lr=0.0001_dropout=0.3_n_layers=2_num_heads=8_weight_decay=0.001	0.8209	0.8149
lr=0.0001_dropout=0.3_n_layers=3_num_heads=8_weight_decay=0.0005	0.8208	0.8127
lr=0.0001_dropout=0.1_n_layers=4_num_heads=4_weight_decay=0.0005	0.8207	0.8135
lr=0.0001_dropout=0.1_n_layers=2_num_heads=8_weight_decay=0.0005	0.8206	0.8166
lr=0.0001_dropout=0.1_n_layers=2_num_heads=8_weight_decay=0.001	0.8206	0.8163
lr=0.0001_dropout=0.1_n_layers=4_num_heads=16_weight_decay=0.001	0.8206	0.8125
lr=0.0001_dropout=0.3_n_layers=3_num_heads=8_weight_decay=0.001	0.8205	0.8129
lr=0.0001_dropout=0.3_n_layers=4_num_heads=16_weight_decay=0.0005	0.8195	0.8080
lr=0.0001_dropout=0.3_n_layers=4_num_heads=8_weight_decay=0.001	0.8187	0.8073
lr=0.0001_dropout=0.3_n_layers=4_num_heads=4_weight_decay=0.0005	0.8185	0.8094
lr=0.0001_dropout=0.3_n_layers=4_num_heads=16_weight_decay=0.001	0.8185	0.8067
lr=0.005_dropout=0.3_n_layers=2_num_heads=4_weight_decay=0.0005_hidden_dim=128	0.8181	0.8126
lr=0.005_dropout=0.3_n_layers=2_num_heads=4_weight_decay=0.0005_hidden_dim=256	0.8177	0.8132
lr=0.005_dropout=0.3_n_layers=2_num_heads=4_weight_decay=0.0005_hidden_dim=128	0.8175	0.8116
lr=0.0001_dropout=0.3_n_layers=4_num_heads=4_weight_decay=0.001	0.8174	0.8073
lr=0.0001_dropout=0.3_n_layers=4_num_heads=8_weight_decay=0.0005	0.8171	0.8022
lr=0.001_dropout=0.1_n_layers=2_num_heads=8_weight_decay=0.0005	0.8168	0.8117
lr=0.005_dropout=0.1_n_layers=2_num_heads=4_weight_decay=0.0005_hidden_dim=128	0.8161	0.8105
lr=0.005_dropout=0.1_n_layers=2_num_heads=4_weight_decay=0.001	0.8160	0.8106
lr=0.005_dropout=0.1_n_layers=2_num_heads=4_weight_decay=0.0005_hidden_dim=256	0.8158	0.8102
lr=0.005_dropout=0.1_n_layers=2_num_heads=8_weight_decay=0.0005	0.8157	0.8099
lr=0.005_dropout=0.1_n_layers=2_num_heads=4_weight_decay=0.0005_hidden_dim=128	0.8152	0.8075
lr=0.005_dropout=0.1_n_layers=2_num_heads=4_weight_decay=0.0005	0.8144	0.8083
lr=0.001_dropout=0.1_n_layers=2_num_heads=4_weight_decay=0.001	0.8100	0.8052
lr=0.001_dropout=0.1_n_layers=2_num_heads=4_weight_decay=0.0005	0.8089	0.8029
