### HYPERPARAMETER TUNING RESULTS (AUTO-SAVED PER COMBINATION, SORTED) ###

PARAMS	AUROC	AUPRC
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=3	0.8264	0.8223
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=2	0.8262	0.8220
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=3	0.8261	0.8222
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=2	0.8260	0.8227
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=2	0.8260	0.8222
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=4	0.8259	0.8228
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=3	0.8257	0.8218
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=4	0.8257	0.8231
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=1	0.8256	0.8216
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=4	0.8256	0.8219
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=3	0.8256	0.8221
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=4	0.8256	0.8221
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=1	0.8254	0.8211
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=1	0.8253	0.8217
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=3	0.8252	0.8223
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=1	0.8252	0.8214
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=4	0.8252	0.8207
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=4	0.8252	0.8220
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=1	0.8251	0.8209
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=1	0.8251	0.8218
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=4	0.8251	0.8214
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=2	0.8250	0.8210
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=4	0.8250	0.8219
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=1	0.8250	0.8217
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=2	0.8250	0.8210
